Driver,Year,AvgFinish,Wins,DriverRating,Points,Sponsor_Cost,Social_Impressions,Brand_Mentions,Media_Value,Engagement_Value,ROI,Risk_Score,Return_Score,Risk_Return_Segment,Sponsor_Target_Score,Target_Rank,Sponsor_Target_Category
AJ Allmendinger,2022,17.4,0,71.2,0,122154,104345,2215,8347.6,5537.5,-0.8863311884997626,0.6415938601393355,0.05444795136248586,High Risk / Low Return,0.22267700578401167,819.0,Low Priority Target
Loris Hezemans,2022,35.3,0,30.3,0,56276,93056,1704,7444.4800000000005,4260.0,-0.7920164901556614,0.7356648906813065,0.12379662878406121,High Risk / Low Return,0.1371799747353723,1031.0,Low Priority Target
Andy Lally,2022,39.0,0,25.3,0,88663,198781,2321,15902.48,5802.5,-0.7551968690434567,0.8015972181224935,0.15086973692229672,High Risk / Low Return,0.12585997145813796,1052.0,Low Priority Target
J.J. Yeley,2022,29.6,0,33.4,0,63994,108597,3167,8687.76,7917.5,-0.7405184861080726,0.6923101158741088,0.1616626086711144,High Risk / Low Return,0.23867833786282439,775.0,Low Priority Target
Josh Williams,2022,25.0,0,37.1,0,73499,67543,1166,5403.4400000000005,2915.0,-0.886822405747017,0.6606329069281411,0.054086764113606835,High Risk / Low Return,0.15275971257532323,1000.0,Low Priority Target
Justin Allgaier,2022,36.0,0,32.3,0,73040,146038,5801,11683.04,14502.5,-0.6414904162102957,0.7588870342223905,0.23447698220562585,High Risk / Low Return,0.2954078189863271,588.0,Low Priority Target
Ryan Preece,2022,31.0,0,41.8,0,66959,197796,8686,15823.68,21715.0,-0.4393781269134844,0.7078703633647224,0.38308817642525217,High Risk / Low Return,0.4094636273819642,229.0,Low Priority Target
Zane Smith,2022,17.0,0,48.7,0,122265,53828,1712,4306.24,4280.0,-0.9297735247208931,0.6381162825148003,0.022505225425460906,High Risk / Low Return,0.25154605391251333,722.0,Low Priority Target
Parker Kligerman,2022,31.0,0,29.5,0,69576,166656,8210,13332.48,20525.0,-0.5133741520064391,0.7105148528327425,0.3286796211868304,High Risk / Low Return,0.40797401767339236,233.0,Low Priority Target
Scott Heckert,2022,33.0,0,26.3,0,85946,67087,1879,5366.96,4697.5,-0.8828978661019711,0.745005524389213,0.05697243982111436,High Risk / Low Return,0.16647031555930972,966.0,Low Priority Target
Ty Gibbs,2022,22.4,0,53.2,0,56116,193717,5915,15497.36,14787.5,-0.4603168436809466,0.6197339792415052,0.36769214229459446,High Risk / Low Return,0.37989776944039644,297.0,Low Priority Target
Austin Hill,2022,18.0,0,53.3,0,133872,81337,4031,6506.96,10077.5,-0.8761170371698339,0.6588195636348639,0.061958317171323544,High Risk / Low Return,0.35740128036792507,365.0,Low Priority Target
Kyle Larson,2021,9.1,10,112.4,5040,239475,889374,17131,71149.92,42827.5,-0.52405294915962,0.28683382108934374,0.32082760583791325,Safe but Moderate,0.5820625441578726,26.0,Medium Priority Target
Martin Truex Jr.,2021,12.1,4,97.6,5035,145180,483683,23072,38694.64,57680.0,-0.33617137346741977,0.36861905037711246,0.4589750951995287,Safe but Moderate,0.6369419932140407,13.0,Medium Priority Target
Denny Hamlin,2021,8.5,2,109.4,5034,216557,467595,5477,37407.6,13692.5,-0.7640339494913579,0.458467644727402,0.14437191789631515,High Risk / Low Return,0.36011786539814705,358.0,Low Priority Target
Chase Elliott,2021,10.7,2,102.3,5032,119486,390448,10876,31235.84,27190.0,-0.5110235508762533,0.38017964016452027,0.33040799526198583,Safe but Moderate,0.4719207972465468,106.0,Medium Priority Target
Kevin Harvick,2021,10.9,0,92.5,2361,96371,129818,1661,10385.44,4152.5,-0.8491461124197113,0.487488699314775,0.0817897749726708,High Risk / Low Return,0.23088460418769696,803.0,Low Priority Target
Brad Keselowski,2021,13.0,1,87.9,2354,96359,307816,12056,24625.28,30140.0,-0.4316537116408431,0.48152943019641786,0.38876786360463866,High Risk / Low Return,0.5126774837511852,64.0,Medium Priority Target
Ryan Blaney,2021,11.9,3,91.8,2350,130631,312583,10732,25006.64,26830.0,-0.6031827054833845,0.4564077510098596,0.2626442681175968,High Risk / Low Return,0.4513671199657361,136.0,Medium Priority Target
Joey Logano,2021,12.7,1,95.1,2336,125996,214774,8218,17181.920000000002,20545.0,-0.7005704943014064,0.5093169574353188,0.1910359772560705,High Risk / Low Return,0.41281684888968323,219.0,Low Priority Target
Kyle Busch,2021,12.8,2,96.9,2318,110103,340818,8513,27265.440000000002,21282.5,-0.5590679636340518,0.4696859724447224,0.2950814073520753,High Risk / Low Return,0.4196074958624998,204.0,Low Priority Target
William Byron,2021,13.7,1,97.6,2306,104382,227014,5625,18161.12,14062.5,-0.6912914103964285,0.4973361491916106,0.19785879711121443,High Risk / Low Return,0.34612038150973523,407.0,Low Priority Target
Kurt Busch,2021,15.5,1,82.7,2297,108755,241718,2855,19337.44,7137.5,-0.756563468346283,0.5181746912832799,0.14986488978945134,High Risk / Low Return,0.25946646257439177,694.0,Low Priority Target
Christopher Bell,2021,15.8,1,85.5,2279,125659,192424,4617,15393.92,11542.5,-0.7856387524968367,0.5384800840419511,0.12848611705414625,High Risk / Low Return,0.2968532999230806,581.0,Low Priority Target
Tyler Reddick,2021,15.1,0,81.4,2250,93756,188388,8886,15071.04,22215.0,-0.6023076923076923,0.5258162589076987,0.2632876567677869,High Risk / Low Return,0.4625886144154411,116.0,Medium Priority Target
Alex Bowman,2021,15.1,4,84.2,2240,110609,342627,8623,27410.16,21557.5,-0.557290455568715,0.4431415761622816,0.2963883916885734,High Risk / Low Return,0.40975623402880534,228.0,Low Priority Target
Aric Almirola,2021,20.0,1,66.6,2215,138538,249024,10771,19921.920000000002,26927.5,-0.6618298228644849,0.5910765319952901,0.21952161495352002,High Risk / Low Return,0.4205454599029341,202.0,Low Priority Target
Michael McDowell,2021,20.5,1,61.8,2152,75892,248356,10851,19868.48,27127.5,-0.3807518579033364,0.5341199937009767,0.42619549998559453,High Risk / Low Return,0.4923163670684572,79.0,Medium Priority Target
Austin Dillon,2021,14.5,0,79.8,935,125442,131371,3275,10509.68,8187.5,-0.8509496022065975,0.5912811304359251,0.08046368652983263,High Risk / Low Return,0.27324624662267527,663.0,Low Priority Target
Matt DiBenedetto,2021,16.9,0,73.4,775,129666,135645,4785,10851.6,11962.5,-0.8240548794595345,0.6218126036381763,0.10023911374186732,High Risk / Low Return,0.3209936195111093,497.0,Low Priority Target
Chris Buescher,2021,16.3,0,71.2,771,100147,83200,1149,6656.0,2872.5,-0.9048548633508742,0.586717031086498,0.04082767398827284,High Risk / Low Return,0.18008195002555574,945.0,Low Priority Target
Ross Chastain,2021,18.6,0,74.0,729,123561,117473,1661,9397.84,4152.5,-0.8903348143831792,0.6322582203718368,0.05150412431558427,High Risk / Low Return,0.18386627846165038,939.0,Low Priority Target
Bubba Wallace,2021,19.7,1,66.9,699,149178,200489,2395,16039.12,5987.5,-0.8523467267291424,0.6439019714738088,0.07943639450077644,High Risk / Low Return,0.20169208879630424,896.0,Low Priority Target
Ricky Stenhouse Jr.,2021,19.8,0,67.0,666,124884,205073,6816,16405.84,17040.0,-0.7321847474456296,0.646224675957884,0.16779032539358027,High Risk / Low Return,0.34018994202037733,424.0,Low Priority Target
Chase Briscoe,2021,19.7,0,64.1,655,95779,151358,4093,12108.64,10232.5,-0.7667428141868259,0.6162413347142681,0.14238011611734622,High Risk / Low Return,0.2847826460272722,624.0,Low Priority Target
Erik Jones,2021,19.7,0,62.8,641,102298,183226,5848,14658.08,14620.0,-0.7137961641478816,0.6232422177073919,0.18131127126675392,High Risk / Low Return,0.3323215051403944,451.0,Low Priority Target
Daniel Su<e1>rez,2021,20.1,0,63.2,634,78404,193553,5969,15484.24,14922.5,-0.6121787153716647,0.602893677241583,0.2560295898248504,High Risk / Low Return,0.3540901426695599,377.0,Low Priority Target
Cole Custer,2021,21.4,0,62.0,575,87946,133692,3209,10695.36,8022.5,-0.7871664430445955,0.6259447866224206,0.12736282110074154,High Risk / Low Return,0.2503225296758994,727.0,Low Priority Target
Ryan Preece,2021,22.8,0,58.6,557,89748,201782,7485,16142.56,18712.5,-0.6116341311226992,0.6408613399594061,0.2564300173093618,High Risk / Low Return,0.3741868365404976,319.0,Low Priority Target
Ryan Newman,2021,22.6,0,56.8,546,79856,133871,5400,10709.68,13500.0,-0.6968332999398918,0.6293953798413081,0.19378389980460942,High Risk / Low Return,0.3493468605208092,394.0,Low Priority Target
Corey LaJoie,2021,24.9,0,52.1,448,59200,87077,921,6966.16,2302.5,-0.8434347972972972,0.6320572741126166,0.08598924925431686,High Risk / Low Return,0.1367318965876514,1033.0,Low Priority Target
Anthony Alfredo,2021,27.6,0,44.3,352,83997,98871,1808,7909.68,4520.0,-0.8520223341309809,0.6841803009456885,0.07967491721296036,High Risk / Low Return,0.16282793119031633,975.0,Low Priority Target
Quin Houff,2021,32.5,0,33.0,176,75611,59024,2274,4721.92,5685.0,-0.8623623546838424,0.724877677930566,0.07207200099266271,High Risk / Low Return,0.2246454085393676,815.0,Low Priority Target
James Davison,2021,31.3,0,34.3,117,85057,78505,1999,6280.400000000001,4997.5,-0.8674077383401719,0.7253958814731638,0.0683621796202364,High Risk / Low Return,0.16981269004216645,961.0,Low Priority Target
Jamie McMurray,2021,8.0,0,85.3,30,236779,198949,7261,15915.92,18152.5,-0.8561172232334794,0.6721780583136805,0.0766639852115641,High Risk / Low Return,0.38332771040970526,287.0,Low Priority Target
Scott Heckert,2021,28.3,0,34.5,26,88138,85322,2037,6825.76,5092.5,-0.8647772810819397,0.7042733080779248,0.07029632917566245,High Risk / Low Return,0.17993600960557682,946.0,Low Priority Target
Joey Hand,2021,27.0,0,42.3,10,50125,60951,1562,4876.08,3905.0,-0.8248163591022444,0.6546668097923338,0.09967920519068138,High Risk / Low Return,0.19842598359927047,902.0,Low Priority Target
Mike Marlar,2021,31.0,0,37.8,6,73857,149419,2442,11953.52,6105.0,-0.7554934535656741,0.7146636472011694,0.1506516612170186,High Risk / Low Return,0.1755250313748818,953.0,Low Priority Target
David Ragan,2021,37.0,0,30.7,4,65398,129051,2623,10324.08,6557.5,-0.7418639713752714,0.760021004119604,0.16067328648264675,High Risk / Low Return,0.16216666225989013,978.0,Low Priority Target
Chris Windom,2021,33.0,0,33.7,4,56638,152232,5208,12178.56,13020.0,-0.5550944595501254,0.7152715515084287,0.29800308613372356,High Risk / Low Return,0.30724113101796935,542.0,Low Priority Target
Rc Enerson,2021,34.0,0,31.2,3,56570,66805,1825,5344.400000000001,4562.5,-0.8248736079193919,0.7242067252100496,0.0996371106940352,High Risk / Low Return,0.17273174175712688,957.0,Low Priority Target
Derrike Cope,2021,40.0,0,23.2,1,53249,195478,8009,15638.24,20022.5,-0.3303021652988789,0.774756052662182,0.4632906666973585,High Risk / Low Return,0.3759414835985279,313.0,Low Priority Target
Shane Golobic,2021,37.0,0,30.4,1,59110,111380,4912,8910.4,12280.0,-0.6415090509220098,0.7537555408029438,0.23446328028392968,High Risk / Low Return,0.30191742995762644,558.0,Low Priority Target
Ryan Eversley,2021,39.0,0,28.5,1,63605,121455,3845,9716.4,9612.5,-0.6961103686817074,0.7762464750905039,0.1943154641047877,High Risk / Low Return,0.21823139358269214,830.0,Low Priority Target
Austin Cindric,2021,22.7,0,70.2,0,62115,136280,5496,10902.4,13740.0,-0.6032777911937535,0.6284883015760186,0.2625743525225564,High Risk / Low Return,0.3735839253781059,321.0,Low Priority Target
Joey Gase,2021,32.4,0,31.6,0,89062,164909,3673,13192.720000000001,9182.5,-0.748768049224136,0.7427696400639597,0.15559678540656288,High Risk / Low Return,0.20440510842040538,886.0,Low Priority Target
Cody Ware,2021,31.2,0,36.4,0,72911,191230,5086,15298.4,12715.0,-0.6157863696835868,0.7156797561048198,0.2533769168107964,High Risk / Low Return,0.2742801931139319,661.0,Low Priority Target
BJ McLeod,2021,29.2,0,39.0,0,88525,124637,4799,9970.960000000001,11997.5,-0.7518389155605762,0.7135090505954085,0.1533388073531995,High Risk / Low Return,0.2894083370722666,607.0,Low Priority Target
Josh Bilicki,2021,31.1,0,33.7,0,82556,120194,3058,9615.52,7645.0,-0.7909234943553466,0.7245286331302168,0.12460029793118214,High Risk / Low Return,0.20281264596138832,892.0,Low Priority Target
Kaz Grala,2021,23.3,0,57.8,0,62595,127117,4263,10169.36,10657.5,-0.6672759805096253,0.6343579589723458,0.21551710837765273,High Risk / Low Return,0.31726320918708406,510.0,Low Priority Target
Justin Haley,2021,28.6,0,41.7,0,51969,114280,1990,9142.4,4975.0,-0.728349593026612,0.6711844440021797,0.17061027701656095,High Risk / Low Return,0.18973283806459945,923.0,Low Priority Target
Garrett Smithley,2021,31.3,0,32.8,0,67275,155848,5297,12467.84,13242.5,-0.6178321813452249,0.710881990381407,0.2518726514578965,High Risk / Low Return,0.29977242586933056,569.0,Low Priority Target
Timmy Hill,2021,33.8,0,28.8,0,54470,156022,6936,12481.76,17340.0,-0.45251037268221034,0.7203783816507027,0.37343216424872394,High Risk / Low Return,0.3820163099818008,289.0,Low Priority Target
J.J. Yeley,2021,29.4,0,38.5,0,60225,198226,8869,15858.08,22172.5,-0.3685250311332503,0.6867066537831088,0.4351857664070024,High Risk / Low Return,0.4401808417430622,154.0,Low Priority Target
David Starr,2021,31.6,0,33.5,0,73196,110058,4289,8804.64,10722.5,-0.7332212142740041,0.7195574933890173,0.1670282214479485,High Risk / Low Return,0.2798952164614718,643.0,Low Priority Target
Stewart Friesen,2021,23.0,0,50.2,0,63669,112068,4463,8965.44,11157.5,-0.6839444627683802,0.6327509327812431,0.20326093601465287,High Risk / Low Return,0.34155605299033076,423.0,Low Priority Target
Ty Dillon,2021,23.0,0,50.3,0,87380,149932,4845,11994.56,12112.5,-0.7241123826962692,0.6567109976556121,0.173725856428099,High Risk / Low Return,0.3048368860661903,548.0,Low Priority Target
Bayley Currey,2021,32.0,0,33.3,0,88006,187103,6246,14968.24,15615.0,-0.6524868758948253,0.7381128040484504,0.22639139269698377,High Risk / Low Return,0.29352303607536406,598.0,Low Priority Target
AJ Allmendinger,2021,16.0,1,85.5,0,134409,122965,1887,9837.2,4717.5,-0.8917133525284765,0.6164134864367485,0.05049049866836256,High Risk / Low Return,0.20452522049315486,885.0,Low Priority Target
Harrison Burton,2021,20.0,0,58.4,0,145176,144475,4009,11558.0,10022.5,-0.8513493965944784,0.6881910209593933,0.08016972161739712,High Risk / Low Return,0.26296714755434947,686.0,Low Priority Target
Justin Allgaier,2021,32.5,0,44.2,0,78625,52282,1465,4182.56,3662.5,-0.9002218124006359,0.7331204437192383,0.04423431114522549,High Risk / Low Return,0.16023725049145926,983.0,Low Priority Target
Matt Mills,2021,38.0,0,24.2,0,65504,117534,5681,9402.72,14202.5,-0.6396369687347337,0.7692205925872341,0.23583980404948765,High Risk / Low Return,0.3203226553843572,499.0,Low Priority Target
Josh Berry,2021,28.0,0,40.3,0,74089,124964,3404,9997.12,8510.0,-0.750204213850909,0.6881521813239471,0.15454078756979955,High Risk / Low Return,0.23961853308541473,773.0,Low Priority Target
Kyle Tilley,2021,32.0,0,33.9,0,86487,169006,5403,13520.48,13507.5,-0.6874908367731567,0.7365778481822208,0.20065332181250356,High Risk / Low Return,0.2720484480475862,668.0,Low Priority Target
Chad Finchum,2021,37.0,0,26.8,0,50302,100583,3151,8046.64,7877.5,-0.6834292871058805,0.7448845489002878,0.20363973965248874,High Risk / Low Return,0.22388821273331205,817.0,Low Priority Target
Landon Cassill,2021,30.5,0,57.8,0,81463,88392,3135,7071.360000000001,7837.5,-0.8169861163964008,0.7180395366647662,0.10543670624909567,High Risk / Low Return,0.23997560869814583,771.0,Low Priority Target
Ben Rhodes,2021,30.0,0,36.7,0,79259,57461,2294,4596.88,5735.0,-0.8696440782750223,0.7113252059404769,0.06671782068711336,High Risk / Low Return,0.24212488449464475,762.0,Low Priority Target
Andy Lally,2021,39.0,0,40.2,0,87208,150123,2852,12009.84,7130.0,-0.7805265571965875,0.8001269345244924,0.1322450643764355,High Risk / Low Return,0.14157208936104038,1023.0,Low Priority Target
Parker Kligerman,2021,20.0,0,62.0,0,124560,60516,1885,4841.28,4712.5,-0.9232997752087347,0.667358466556374,0.02726531027447143,High Risk / Low Return,0.23652689905725213,785.0,Low Priority Target
Ryan Ellis,2021,36.0,0,29.8,0,85840,198586,8546,15886.880000000001,21365.0,-0.5660312208760484,0.771821487868037,0.2899613922456613,High Risk / Low Return,0.3470536821072763,401.0,Low Priority Target
Chase Elliott,2020,12.2,5,103.2,5040,112116,597391,17040,47791.28,42600.0,-0.19377002390381393,0.31095753063986503,0.5636814180597677,Safe but Moderate,0.6107650190184313,16.0,Medium Priority Target
Brad Keselowski,2020,10.1,4,100.0,5035,126244,482583,10200,38606.64,25500.0,-0.49220050061785114,0.33153542506636624,0.34424840045203936,Safe but Moderate,0.4735606861383177,104.0,Medium Priority Target
Joey Logano,2020,11.9,3,101.9,5034,126185,405827,14686,32466.16,36715.0,-0.4517481475611205,0.37265918048519403,0.37399262094288876,Safe but Moderate,0.5273628961253001,52.0,Medium Priority Target
Denny Hamlin,2020,9.3,7,100.8,5033,220592,666197,28613,53295.76,71532.5,-0.43412154565895406,0.34475404533009557,0.38695328933088585,Safe but Moderate,0.6565527976297961,10.0,Medium Priority Target
Kevin Harvick,2020,7.4,9,107.4,2410,248018,703047,8806,56243.76,22015.0,-0.684463385722004,0.38287145036665193,0.2028793770302174,Safe but Moderate,0.46032429619543563,119.0,Medium Priority Target
Alex Bowman,2020,14.8,1,90.8,2371,148549,328860,13506,26308.8,33765.0,-0.5955960659445705,0.5499194968736782,0.2682226501442397,High Risk / Low Return,0.4770521034585189,98.0,Medium Priority Target
